iter	RMSE
0	14.52783113
1	14.0798167
2	13.63768686
3	13.22284702
4	12.81622116
5	12.47347694
6	12.1220575
7	11.81902475
8	11.52376086
9	11.21468915
10	10.8911208
11	10.58317171
12	10.3020014
13	10.03445184
14	9.80191057
15	9.595684833
16	9.360681569
17	9.148716752
18	8.965035447
19	8.770959826
20	8.613612926
21	8.457357145
22	8.318614604
23	8.166811292
24	8.034306589
25	7.930365834
26	7.795531789
27	7.676585453
28	7.569569181
29	7.453898825
30	7.364609342
31	7.266995815
32	7.166731981
33	7.094758694
34	7.003074707
35	6.950192004
36	6.874393505
37	6.80163898
38	6.748625305
39	6.684894445
40	6.638427746
41	6.579793139
42	6.523126071
43	6.46512266
44	6.411909843
45	6.357439093
46	6.304438142
47	6.26159606
48	6.226829664
49	6.185753543
50	6.149721548
51	6.111025931
52	6.074132046
53	6.032775159
54	6.000461919
55	5.97493427
56	5.950337343
57	5.923964481
58	5.898390849
59	5.878771891
60	5.857249401
61	5.837919389
62	5.820118206
63	5.79854096
64	5.777134455
65	5.75781201
66	5.741865497
67	5.722764676
68	5.705289672
69	5.687790811
70	5.673416624
71	5.656330684
72	5.641356042
73	5.629580501
74	5.618721997
75	5.606947656
76	5.595178298
77	5.581031909
78	5.566289553
79	5.554243216
80	5.541459183
81	5.533081769
82	5.51929091
83	5.510104754
84	5.49917631
85	5.491896353
86	5.480143339
87	5.473387566
88	5.462853017
89	5.456872895
90	5.449407605
91	5.442488664
92	5.433190336
93	5.42377844
94	5.416162148
95	5.4124719
96	5.408008507
97	5.398753314
98	5.390643347
99	5.383805342
100	5.375716977
101	5.369420467
102	5.36001776
103	5.350571164
104	5.34479663
105	5.33851475
106	5.334995364
107	5.328488811
108	5.322641706
109	5.31854453
110	5.3127666
111	5.308066751
112	5.303680094
113	5.300245457
114	5.297783695
115	5.293305074
116	5.28945095
117	5.284254023
118	5.281002053
119	5.276571244
120	5.272774572
121	5.268587195
122	5.265363014
123	5.261439645
124	5.254531224
125	5.250895504
126	5.247290417
127	5.246413448
128	5.242416023
129	5.237190964
130	5.23379073
131	5.230751423
132	5.228135282
133	5.226396836
134	5.223480136
135	5.221605994
136	5.218902216
137	5.215706671
138	5.209728909
139	5.20575031
140	5.202383082
141	5.197285225
142	5.193015335
143	5.189066654
144	5.186925164
145	5.184218644
146	5.181237277
147	5.177512916
148	5.171855568
149	5.168511313
150	5.164717169
151	5.16264898
152	5.160677104
153	5.157694606
154	5.15545171
155	5.152410256
156	5.150029064
157	5.147036
158	5.144697274
159	5.141498502
160	5.138449552
161	5.136450186
162	5.135787926
163	5.133640792
164	5.130791001
165	5.127244619
166	5.123613852
167	5.120030316
168	5.115386096
169	5.11332692
170	5.112040771
171	5.109414696
172	5.106720854
173	5.100268549
174	5.098490893
175	5.095959292
176	5.09436456
177	5.092005661
178	5.08800185
179	5.086302636
180	5.084551398
181	5.079271046
182	5.077124828
183	5.073626031
184	5.072920113
185	5.071288736
186	5.068765945
187	5.066036261
188	5.064673951
189	5.062724366
190	5.060417067
191	5.058205081
192	5.056754622
193	5.054564882
194	5.052555389
195	5.05119071
196	5.049956405
197	5.048059383
198	5.044667827
199	5.041265226
200	5.038583228
201	5.038004563
202	5.034871548
203	5.030913125
204	5.02593771
205	5.02028979
206	5.018451363
207	5.014123835
208	5.012133548
209	5.009154039
210	5.005938465
211	5.004723783
212	5.00325501
213	5.001779265
214	5.000238905
215	4.995437869
216	4.993935775
217	4.990416895
218	4.98535644
219	4.983232034
220	4.981582886
221	4.976187631
222	4.971765831
223	4.970436622
224	4.968995692
225	4.966948014
226	4.963356942
227	4.96006333
228	4.956885672
229	4.9525671
230	4.948389088
231	4.944239489
232	4.942223227
233	4.940220546
234	4.937691589
235	4.936327246
236	4.931893398
237	4.928917042
238	4.927618513
239	4.924811559
240	4.922618278
241	4.921019496
242	4.916954014
243	4.915260914
244	4.910788752
245	4.906676773
246	4.904323458
247	4.901187267
248	4.897304627
249	4.894913774
250	4.889703483
251	4.887107405
252	4.885297318
253	4.883945681
254	4.88069427
255	4.879210533
256	4.876313367
257	4.874302053
258	4.871428477
259	4.868935007
260	4.866273047
261	4.864491153
262	4.860499625
263	4.859068076
264	4.857529402
265	4.855980479
266	4.854310412
267	4.853131127
268	4.850234607
269	4.846866785
270	4.844169321
271	4.840979497
272	4.837592626
273	4.836382486
274	4.834376397
275	4.831724047
276	4.825645943
277	4.82261284
278	4.819489566
279	4.81820405
280	4.81695099
281	4.81604795
282	4.812990812
283	4.810186389
284	4.808399584
285	4.805802612
286	4.804845507
287	4.803258126
288	4.80061815
289	4.797120355
290	4.794121485
291	4.791628443
292	4.791402766
293	4.787847697
294	4.782960646
295	4.780598571
296	4.776257728
297	4.774122371
298	4.769149194
299	4.768578999
300	4.766123817
301	4.764771052
302	4.763332102
303	4.762784152
304	4.75805959
305	4.75542154
306	4.753501653
307	4.752990516
308	4.751600662
309	4.750029645
310	4.749498771
311	4.747699013
312	4.746020395
313	4.743706193
314	4.742462474
315	4.737848882
316	4.734566959
317	4.731346065
318	4.727271232
319	4.72563535
320	4.72333984
321	4.723028681
322	4.720107446
323	4.71723683
324	4.715651282
325	4.714888203
326	4.711457893
327	4.706984726
328	4.703759721
329	4.701447928
330	4.699543971
331	4.695070241
332	4.691495978
333	4.689921058
334	4.685750929
335	4.684813277
336	4.681575768
337	4.680810606
338	4.677632821
339	4.677181956
340	4.673045207
341	4.671086296
342	4.670521762
343	4.668577377
344	4.666120739
345	4.663851962
346	4.660726265
347	4.658730923
348	4.656297505
349	4.651932906
350	4.651688429
351	4.649161161
352	4.647476331
353	4.644311541
354	4.640789303
355	4.638275376
356	4.637279668
357	4.63563282
358	4.632922301
359	4.630504971
360	4.628180059
361	4.623673509
362	4.621679719
363	4.618674375
364	4.617142171
